,species,length,mass,freq,folk_generic,folk_specific,clements_group,prototype,group_size_folk_generics,group_size_folk_specific,group_size_clements,density
139,Melanotis caerulescens,10.0,61.57,4343,mæ̀cw-guiùu,mæ̀cw-guiùu,"Catbirds, Mockingbirds, and Thrashers",0.0,1.0,1.0,3.0,-4.589284356814156
140,Myiarchus tuberculifer,6.75,17.7,2575,mguîn̲-rchǔup,mguîn̲-rchǔup,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0.0,2.0,2.0,12.0,-4.5773870728843775
141,Campylorhynchus jocosus,6.5,27.6,1969,mguîn̲-quiè,mguîn̲-quiè,Wrens,0.0,1.0,1.0,6.0,-4.596991802266477
142,Falco peregrinus,18.0,759.95,883,msì,msì-dòo,Falcons and Caracaras,0.0,7.0,1.0,3.0,-5.474901767331493
143,Henicorhina leucophrys,4.25,16.19,1592,nguzhǐn,nguzhǐn-guì,Wrens,0.0,6.0,2.0,6.0,-5.0615650095634805
144,Columba livia,13.5,354.2,2254,pàlôm,pàlôm,Pigeons and Doves,1.0,2.0,1.0,7.0,-5.613167494343181
145,Sayornis saya,7.5,20.9,302,cùchguêr,xín-cùchguêr,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0.0,4.0,1.0,12.0,-4.505019934049943
146,Vermivora celata,5.05,9.19,0,wǐt,wǐt,Wood-Warblers,0.0,12.0,11.0,15.0,
147,Aimophila ruficeps,6.0,18.69,638,mtsùu,mtsùu,New World Sparrows,0.0,8.0,8.0,10.0,-3.9081676958322826
148,Basileuterus rufifrons,5.25,10.4,4865,mguîn̲-dǎm̲,mguîn̲-dǎm̲,Wood-Warblers,0.0,1.0,1.0,15.0,-3.903396972522273
149,Molothrus aeneus,7.625,62.61,3489,sànât-bûrr,sànât-bûrr,Blackbirds,0.0,1.0,1.0,3.0,-4.300998023166482
150,Aratinga canicularis,8.9,85.0,0,pèrícw,pèrícw,"Parrots, Parakeets, and Allies",0.0,1.0,1.0,3.0,
151,Aphelocoma californica,11.5,85.74,0,cuǐl̲,cuǐl̲,"Jays, Magpies, Crows, and Ravens",0.0,2.0,1.0,3.0,
152,Trogon citreolus,,79.0,2030,,,,,,,,-5.003344267154313
153,Atlapetes pileatus,,24.0,1300,,,,,,,,-4.05054558455437
154,Diglossa baritula,,9.2,1041,,,,,,,,-4.456981339419645
155,Leiothlypis ruficapilla,,0.0,5300,,,,,,,,
156,Sterna forsteri,,149.0,165,,,,,,,,-5.562521956646945
157,Numenius phaeopus,,364.57,448,,,,,,,,-5.692819127545729
158,Icterus gularis,,55.16,2400,,,,,,,,-4.484636196817468
159,Chaetura vauxi,,17.1,691,,,,,,,,-5.792305174055495
160,Eudocimus albus,,889.66,1254,,,,,,,,-5.705417915017051
161,Turdus rufopalliatus,,75.02,4272,,,,,,,,-4.211389147606674
162,Caracara cheriway,,1078.62,4387,,,,,,,,-5.386446112857446
